id;fatalities;street;ins_street;settl_unit;accs_type;pedestrian;road_type;road_cond;speed_kmh;weather;lighting;x_coord;y_coord;date
1;0;Peterburi tee;Kuuli tn;Lasnamäe linnaosa;Sõidukite külgkokkupõrge;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588729.0;548805.0;2023-04-14
2;0;Reidi tee;Narva mnt;Kesklinna linnaosa;Sõidukite külgkokkupõrge;0.0;Jalg- ja jalgrattatee;Kuiv;50.0;Selged olud;Valge aeg;6589755.0;544773.0;2022-08-22
3;0;Mustakivi tee;;Lasnamäe linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589532.0;548925.0;2022-06-23
4;0;Järvevana tee;;Kesklinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Jalg- ja jalgrattatee;Kuiv;;Pilvised olud;Valge aeg;6585478.0;542033.0;2023-07-23
5;0;Pikri tn;;Lasnamäe linnaosa;Kokkupõrge teel oleva takistusega;0.0;Tänav;Pole teada;;Pole teada;Teadmine puudub;6589239.0;547834.0;2024-05-23
6;0;Muuga tee;;Pirita linnaosa;Sõiduki ümberpaiskumine teel;0.0;Jalg- ja jalgrattatee;Kuiv;50.0;Selged olud;Valge aeg;6593187.0;551780.0;2022-08-15
7;0;Sõpruse pst;;Kristiine linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6586402.0;540195.0;2022-09-06
8;0;Endla tn;;Kristiine linnaosa;Kokkupõrge vastutuleva sõidukiga;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6588000.0;541069.0;2022-11-26
9;0;Lootsi tn;;Kesklinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;30.0;Selged olud;Valge aeg;6589720.0;543260.0;2022-08-19
10;0;Narva mnt;;Kesklinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Jalg- ja jalgrattatee;Kuiv;50.0;Pilvised olud;Valge aeg;6589214.0;543656.0;2022-08-10
11;0;Kopli tn;;Põhja-Tallinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;;;;;6591073.0;538560.0;2024-08-15
12;0;Lennujaama tee;Keevise tn;Lasnamäe linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;30.0;Pilvised olud;Valge aeg;6587064.0;545354.0;2024-11-13
13;0;Tartu mnt;Valukoja tn;Kesklinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;70.0;Selged olud;Valge aeg;6586773.0;545229.0;2023-06-09
14;0;Järvevana tee;;Kesklinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;70.0;Pilvised olud;Valge aeg;6587041.0;543601.0;2022-05-02
15;0;Narva mnt;;Lasnamäe linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6590812.0;547268.0;2021-07-24
16;0;Telliskivi tn;;Põhja-Tallinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Jalgtee;Kuiv;20.0;Selged olud;Valge aeg;6589083.0;541068.0;2023-07-22
17;0;Pelguranna tn;;Põhja-Tallinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;30.0;Selged olud;Pimeda aeg;6589683.0;538993.0;2022-06-24
18;0;Õismäe tee;;Haabersti linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6586511.0;537186.0;2021-01-27
19;0;Lasnamäe tn;;Lasnamäe linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588030.0;544363.0;2021-06-28
20;0;Silikaltsiidi tn;;Nõmme linnaosa;Kokkupõrge vastutuleva sõidukiga;0.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Valge aeg;6582038.0;541222.0;2021-03-11
21;0;Rannamäe tee;;Kesklinna linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;40.0;Selged olud;Valge aeg;6589458.0;542037.0;2023-07-07
22;0;Pikaliiva tn;;Haabersti linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;;Selged olud;Valge aeg;6587964.0;535142.0;2024-08-13
23;0;Akadeemia tee;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;50.0;Lumised olud;Valge aeg;6584520.0;537913.0;2022-02-04
24;0;Mustjõe tn;;Haabersti linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6588093.0;538880.0;2022-05-28
25;0;Narva mnt;;Lasnamäe linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;30.0;Selged olud;Pimeda aeg;6589771.0;549709.0;2022-07-21
26;0;Pirita tee;;Kesklinna linnaosa;Kokkupõrge vastutuleva sõidukiga;0.0;Jalgrattatee;Kuiv;50.0;Selged olud;Valge aeg;6589743.0;545079.0;2024-08-13
27;0;Kollane tn;;Kesklinna linnaosa;Sõiduki ümberpaiskumine teel;0.0;Tänav;Kuiv;30.0;Selged olud;Pimeda aeg;6588784.0;543879.0;2024-10-20
28;0;Ehitajate tee;;Haabersti linnaosa;Sõiduki ümberpaiskumine teel;0.0;Jalg- ja jalgrattatee;Kuiv;;Pilvised olud;Valge aeg;6586277.0;537549.0;2024-07-11
29;0;Lasnamäe tn;;Lasnamäe linnaosa;Kokkupõrge teevälise takistusega;0.0;Õuealatee;Märg;20.0;Pilvised olud;Valge aeg;6588620.0;545005.0;2022-01-20
30;0;Mere pst;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Jalg- ja jalgrattatee;Kuiv;;Selged olud;Valge aeg;6589156.0;542729.0;2024-06-18
